,AccidentArea,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,Make,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PoliceReportFiled,WitnessPresent,VehiclePrice,AgentType,AddressChange_Claim,PastNumberOfClaims,NumberOfSuppliments,NumberOfCars,Year,BasePolicy,Month,AgeOfVehicle,AgeOfPolicyHolder,Age,FraudFound_P,RepNumber,Deductible
32,1,1,2,0,0,0,2,2,3,2,0,0,0,0,3,2,1,0,0,1,7,5,5,42,0,2,400
33,1,1,2,1,0,0,6,3,3,2,0,0,0,0,3,3,0,0,0,1,4,4,4,30,0,2,400
34,1,1,1,0,2,2,5,0,3,2,0,0,5,0,3,1,3,0,0,0,4,5,5,42,0,12,400
35,1,1,2,1,0,1,2,2,3,2,0,0,0,0,3,1,2,0,0,2,10,5,4,34,0,5,400
36,1,1,1,1,0,0,6,3,3,2,0,0,0,0,3,3,2,0,0,1,10,4,4,30,0,11,400
37,1,1,2,0,0,0,9,1,3,2,0,0,1,0,3,3,2,0,0,1,11,5,4,27,0,4,400
38,1,1,1,0,1,1,6,0,3,2,0,0,5,0,3,3,3,0,0,1,9,6,6,55,0,12,400
39,1,1,1,0,0,0,17,2,3,2,0,0,0,0,3,3,0,0,0,1,9,5,4,35,0,1,400
40,1,0,1,0,0,0,2,0,3,2,0,0,0,0,3,1,2,0,0,1,7,4,4,35,0,11,400
41,1,1,1,0,0,0,13,0,3,2,0,0,0,0,3,1,1,2,0,0,7,5,5,44,0,15,400
42,1,0,2,0,0,1,17,3,3,2,0,0,0,0,2,3,3,1,0,2,5,2,5,42,0,12,400
43,1,1,1,0,0,0,6,1,3,2,0,0,0,0,3,1,0,0,0,1,4,5,5,41,0,5,400
44,1,1,1,1,0,0,17,0,3,2,0,0,0,0,3,3,3,0,0,1,4,6,8,72,0,16,400
45,1,0,1,1,0,0,13,2,3,2,0,0,4,0,3,1,3,0,0,0,3,3,4,29,0,8,400
46,1,1,2,1,0,0,13,3,3,2,0,0,1,1,3,3,3,0,0,1,3,4,4,32,0,9,400
47,1,1,1,0,0,1,9,2,3,2,0,0,1,0,3,1,2,0,0,2,9,3,5,37,0,13,400
48,1,0,1,0,0,1,2,0,3,2,0,0,5,0,3,1,1,0,0,2,0,4,5,37,0,10,400
49,1,1,1,0,0,0,13,3,3,2,0,0,0,0,3,2,1,0,0,1,0,6,7,59,0,9,400
50,1,1,1,0,0,1,13,1,3,2,0,0,1,0,3,2,3,0,0,2,8,6,6,49,0,14,400
51,1,1,1,0,0,1,13,2,3,2,0,0,0,0,1,1,1,0,0,2,6,4,4,27,0,4,500
52,0,1,1,0,1,1,6,3,3,2,0,0,5,0,3,3,1,0,0,1,5,2,3,21,1,4,400
53,1,1,1,0,0,0,6,0,3,2,0,0,0,0,3,3,1,0,0,1,5,6,6,50,1,13,400
54,1,1,2,0,0,0,13,0,3,2,0,0,1,0,3,0,0,0,0,1,6,5,5,45,0,8,400
55,1,1,1,1,0,0,9,3,3,2,0,0,0,0,3,3,1,0,0,0,2,6,6,49,0,7,400
56,1,1,2,0,0,0,6,3,3,2,0,0,0,0,3,1,3,0,0,0,6,4,4,30,0,5,400
57,1,1,2,0,0,0,0,2,3,2,0,0,5,0,3,1,3,0,0,1,9,5,5,37,0,11,400
58,0,1,2,0,0,1,6,3,3,2,0,0,5,0,3,3,3,0,0,2,8,7,0,0,0,15,400
59,1,0,2,0,0,0,2,3,3,2,0,0,0,0,3,3,0,0,0,1,8,4,4,27,0,4,400
60,1,1,2,0,0,0,17,3,3,2,0,0,1,0,3,3,3,0,0,0,9,3,4,30,0,5,400
61,1,1,1,0,2,2,13,3,3,2,0,0,2,0,3,3,3,0,0,1,11,6,6,49,0,6,400
62,1,1,2,1,0,0,6,1,3,2,0,0,5,0,3,1,3,0,0,0,9,7,0,0,0,3,400
63,1,1,1,0,0,1,17,2,3,2,0,0,0,0,2,1,2,1,0,2,3,5,4,26,0,13,400
64,1,1,2,0,0,0,13,0,3,2,0,0,0,0,3,3,3,0,0,1,2,5,6,48,0,1,400
65,1,1,2,0,0,0,9,2,3,2,0,0,0,0,3,3,3,0,0,0,2,5,4,31,0,6,400
66,1,1,2,1,0,0,11,1,3,2,0,0,5,0,3,0,2,0,0,1,7,5,5,40,0,16,400
67,1,1,1,0,0,1,9,0,3,2,0,0,1,0,3,1,2,0,0,2,1,6,7,65,0,12,400
68,1,1,1,0,0,0,17,0,3,2,0,0,0,0,3,0,3,0,0,1,4,6,7,64,0,5,400
69,1,1,1,0,0,1,6,1,3,2,0,0,0,0,3,1,2,0,0,2,4,5,6,55,0,12,400
70,1,1,2,0,0,0,6,0,3,2,0,0,0,0,3,1,1,0,0,1,4,5,5,44,0,16,400
71,1,1,1,0,0,0,9,2,3,2,0,0,0,0,3,0,0,0,0,1,4,4,4,27,0,9,400
72,1,0,2,1,0,0,2,2,1,2,0,0,0,0,3,0,3,0,0,1,11,3,4,28,0,5,400
73,1,1,1,1,0,0,6,1,3,2,0,0,0,0,3,0,2,0,0,1,4,6,6,47,0,7,400
74,1,1,1,1,0,0,9,2,3,2,0,0,5,0,3,2,2,0,0,1,0,5,7,60,0,12,400
75,1,1,1,1,0,0,5,3,3,2,0,0,1,0,3,2,3,0,0,1,1,4,4,33,0,9,400
76,1,1,1,1,0,0,2,2,3,2,0,0,0,0,3,3,3,0,0,0,10,4,4,27,0,1,400
77,1,0,1,1,1,1,6,2,3,2,0,0,5,0,3,3,3,0,0,1,3,6,6,47,0,12,400
78,0,0,2,0,0,1,7,0,3,2,0,0,1,0,3,1,1,0,0,2,3,3,4,29,0,16,400
79,1,0,1,1,0,0,17,0,3,2,0,0,1,0,3,1,2,0,0,1,3,5,4,33,0,10,400
80,1,1,1,0,0,1,13,3,3,2,0,0,0,0,3,1,3,0,0,2,4,4,5,38,0,13,400
81,1,1,2,1,0,1,9,1,3,2,0,0,0,0,3,0,3,0,0,2,4,5,5,37,0,6,400
82,1,1,1,1,0,0,2,3,3,2,0,0,5,0,3,3,3,2,0,0,2,5,5,36,0,13,400
83,1,0,1,0,0,1,17,3,3,2,0,0,0,0,3,3,0,0,0,2,9,4,5,44,0,9,400
84,1,1,2,0,0,1,6,1,3,2,0,0,5,0,2,2,3,1,0,2,2,7,0,0,0,6,400
85,0,1,1,0,2,2,2,3,3,2,0,0,5,0,3,0,2,0,0,2,2,4,4,27,0,4,400
86,1,1,2,0,0,0,17,2,3,2,0,0,0,0,3,0,2,0,0,1,8,4,4,27,0,14,400
87,1,1,2,1,0,0,9,1,3,2,0,0,0,0,3,1,2,0,0,0,8,2,5,39,0,1,400
88,1,1,1,1,0,0,13,3,3,2,0,0,1,0,3,3,1,0,0,0,10,5,8,74,0,13,400
89,1,1,2,0,0,1,6,1,3,2,0,0,0,0,3,1,3,0,0,2,10,2,3,23,0,8,400
90,1,0,2,1,1,1,6,0,3,2,0,0,5,0,3,3,2,0,0,1,10,4,3,25,0,2,400
91,1,1,2,0,0,1,13,1,3,2,0,0,0,0,0,2,1,0,0,2,4,5,5,38,0,13,400
92,1,1,1,0,0,0,6,0,3,2,0,0,1,0,3,1,3,0,0,0,4,5,5,41,0,16,400
93,1,1,1,0,0,0,13,2,3,2,0,0,0,0,3,1,2,0,0,1,1,5,5,38,0,13,700
94,1,1,2,0,1,1,6,2,3,2,0,0,5,0,3,3,1,0,0,1,9,5,4,34,1,7,400
95,1,1,1,1,0,0,6,3,3,2,0,0,1,0,3,3,2,0,0,1,8,6,7,61,0,15,400
96,1,1,1,0,0,0,17,1,3,2,0,0,0,0,3,0,3,0,0,1,9,5,5,38,1,7,400
97,1,1,2,0,0,0,17,3,3,2,0,0,4,0,3,0,3,0,0,0,4,5,5,40,0,4,400
98,1,1,1,1,0,0,13,3,3,2,0,0,0,0,3,1,3,0,0,0,9,5,5,41,0,12,400
99,1,1,1,0,0,0,13,0,3,2,0,0,0,0,3,0,3,0,0,0,4,5,5,36,0,10,400
100,1,1,1,0,2,2,2,0,3,2,0,0,5,0,3,2,2,0,0,0,9,5,4,31,1,2,400
101,1,0,1,1,0,0,13,3,3,2,0,0,0,0,3,0,3,0,0,0,4,4,4,35,0,10,400
102,1,0,1,0,0,0,5,1,3,2,1,0,5,0,3,1,1,0,0,0,4,4,5,37,0,14,500
103,1,1,1,0,0,0,9,2,3,2,0,0,0,0,3,3,2,0,0,0,4,6,6,55,0,14,400
104,1,1,2,1,0,0,13,3,3,2,0,0,0,0,3,1,0,0,0,0,4,5,4,31,0,12,400
105,1,1,1,0,0,1,3,0,3,2,0,0,5,0,2,3,0,1,0,2,2,5,4,28,0,5,400
106,1,1,1,0,0,0,9,1,3,2,0,0,0,0,3,1,3,0,0,1,1,5,4,28,0,11,400
107,1,1,1,1,0,0,13,0,3,2,0,0,0,0,3,3,3,0,0,0,9,5,5,44,0,11,400
108,1,1,1,0,0,0,2,0,3,2,0,0,0,0,3,0,3,0,0,0,6,6,6,47,0,1,400
109,1,1,1,0,0,1,6,3,3,2,0,0,0,0,3,3,3,0,0,2,7,4,5,40,0,16,400
110,1,1,2,0,0,0,17,1,3,2,0,0,0,0,3,1,3,0,0,1,8,3,3,23,0,4,400
111,1,1,2,0,0,0,13,2,3,2,0,0,0,0,3,1,3,0,0,0,8,4,4,31,0,6,400
112,1,1,1,1,0,0,6,0,3,2,0,0,0,0,3,3,3,0,0,0,9,4,4,35,0,9,400
113,0,1,1,0,2,2,0,1,3,2,0,0,5,0,3,3,3,0,0,0,9,6,7,56,1,10,400
114,1,1,1,1,0,0,2,2,3,2,0,0,0,0,3,0,2,0,0,1,2,6,6,50,0,2,400
115,1,1,2,1,1,1,6,0,3,2,0,0,5,0,3,1,1,0,0,1,2,2,1,16,0,2,400
116,1,1,1,1,0,0,13,1,3,2,0,1,1,0,3,0,2,0,0,1,9,5,4,32,0,12,400
117,1,1,2,0,0,1,13,2,3,2,0,0,0,0,3,1,1,0,0,2,1,4,4,28,0,4,400
118,1,1,2,0,0,0,9,2,3,2,0,0,0,0,3,1,3,0,0,0,9,3,8,68,1,9,400
119,0,1,2,0,0,0,6,2,3,2,0,0,5,0,3,3,3,0,0,0,2,7,0,0,1,7,400
120,0,1,2,0,0,0,6,2,3,2,0,0,5,0,3,3,3,0,0,0,3,7,0,0,0,8,400
121,0,0,1,1,1,1,6,3,3,2,0,0,5,0,3,3,0,0,0,1,10,0,2,18,0,12,400
122,1,1,2,0,0,0,13,0,3,2,0,0,5,0,3,2,0,0,0,1,6,4,4,30,0,2,400
123,1,1,1,0,0,0,6,3,3,2,0,0,0,0,3,2,3,2,0,1,0,6,6,51,0,1,400
124,1,1,2,1,0,0,17,2,3,2,0,0,1,0,3,3,1,0,0,0,3,4,3,22,0,6,400
125,1,0,1,0,0,1,13,3,3,2,0,0,0,0,3,1,2,0,0,2,3,5,4,26,0,16,400
126,1,1,1,0,0,0,3,1,3,2,1,0,1,0,2,3,3,1,0,1,4,6,6,53,0,15,400
127,1,1,1,0,0,1,9,2,3,2,0,0,1,0,3,1,2,0,0,2,4,5,5,38,0,13,400
128,0,1,1,1,0,1,2,2,3,2,0,1,1,0,3,2,3,0,0,2,4,4,4,27,0,9,400
129,1,1,2,0,0,0,6,2,3,2,0,0,0,0,3,1,1,0,0,1,9,5,4,29,0,14,400
130,1,1,2,0,0,0,13,0,3,2,0,0,0,0,3,2,2,0,0,1,5,3,4,32,0,10,400
131,1,1,2,1,0,0,6,2,3,2,0,0,0,0,3,3,2,0,0,1,0,1,2,18,0,14,400
132,1,1,1,1,0,0,13,3,3,2,0,0,0,0,3,1,0,0,0,1,10,6,7,60,0,6,400
133,1,1,1,0,0,0,5,2,3,2,0,0,5,0,3,3,2,0,0,1,10,6,6,53,0,12,400
134,1,1,2,0,0,0,6,3,3,2,0,0,0,0,3,0,0,0,0,1,0,4,4,29,0,16,400
135,1,1,1,0,0,0,13,1,3,2,0,0,0,0,3,0,2,0,0,1,7,5,4,29,0,6,400
136,1,1,1,1,0,0,17,3,3,2,0,0,0,0,3,0,2,0,0,1,7,5,5,41,0,9,400
137,1,1,1,0,0,0,17,3,3,2,0,0,0,0,3,3,2,0,0,0,3,5,4,29,0,9,400
138,1,1,1,0,0,0,11,1,3,2,0,0,0,0,3,2,3,0,0,0,2,5,5,42,0,2,400
139,1,1,1,0,0,0,17,1,3,2,0,0,4,0,3,3,0,0,0,0,10,5,4,34,0,9,400
140,1,1,1,0,1,1,6,3,3,2,0,0,5,0,3,0,1,0,0,1,5,6,6,51,0,11,400
141,1,1,1,0,0,0,13,3,3,2,0,0,0,0,3,0,1,0,0,0,6,4,4,32,0,3,400
142,1,1,1,0,0,1,2,3,3,2,0,0,0,1,3,3,1,3,0,2,3,6,6,52,0,10,400
143,1,1,1,0,0,0,17,1,3,2,0,0,0,0,3,1,3,0,0,1,3,6,7,61,0,8,400
144,0,1,2,1,0,1,17,3,3,2,0,0,0,0,3,1,1,0,0,2,3,3,3,25,0,1,400
145,1,1,1,0,0,0,9,0,3,2,0,0,1,0,3,3,3,0,0,0,9,5,5,41,0,6,400
146,1,1,2,1,0,1,9,0,3,2,0,0,1,0,3,3,3,0,0,2,11,4,4,33,0,10,400
147,0,1,1,0,0,0,17,2,3,2,0,0,1,0,4,3,2,1,0,0,2,6,5,39,1,1,400
148,1,1,2,0,0,0,0,0,3,2,0,0,1,0,3,3,3,0,0,1,6,4,4,30,0,13,400
149,1,1,3,0,0,0,9,3,3,2,0,0,0,0,3,3,3,0,0,1,8,6,6,50,0,15,400
150,1,0,1,1,0,0,13,0,3,2,0,0,0,0,3,1,2,0,0,1,4,5,4,31,0,8,400
151,1,1,2,0,0,1,13,3,3,2,0,0,1,0,3,2,1,0,0,2,4,3,3,23,0,8,400
152,1,1,2,1,0,1,13,2,3,2,0,0,1,0,3,0,0,0,0,2,4,5,4,31,0,10,400
153,1,1,1,1,0,0,6,2,3,2,0,0,0,0,1,1,2,0,0,0,11,5,6,50,0,2,500
154,1,0,2,1,0,1,6,2,3,2,0,0,0,0,3,1,3,0,0,2,4,4,4,33,0,8,400
155,1,1,1,0,0,1,0,1,3,2,0,0,1,0,3,2,1,0,0,2,4,4,4,30,0,6,400
156,1,1,1,0,0,0,9,0,3,2,0,0,2,0,3,2,3,0,0,1,4,6,5,44,0,13,400
157,1,1,1,0,0,0,2,1,3,2,0,0,5,0,3,0,2,0,0,0,4,5,6,46,0,13,400
158,1,1,2,0,0,1,6,3,3,2,0,0,0,0,3,1,1,0,0,2,4,4,4,31,0,11,400
159,1,1,1,0,0,1,6,2,3,2,0,0,0,0,3,1,3,0,0,2,4,6,6,48,0,5,400
160,1,1,1,0,0,0,2,2,3,2,0,0,5,0,3,3,3,0,0,0,2,4,4,33,1,12,400
161,1,1,2,0,0,1,6,0,3,2,0,0,5,0,3,1,3,0,0,2,4,7,0,0,0,3,400
162,1,0,2,1,0,1,2,2,3,2,0,0,5,0,3,0,0,0,0,2,4,5,5,37,0,5,400
163,1,1,1,1,0,0,17,2,3,2,0,0,4,0,3,3,3,0,0,0,4,5,5,43,0,3,400
164,1,0,1,1,0,0,17,0,3,2,0,0,1,0,3,2,0,2,0,1,4,2,4,32,0,14,400
165,1,1,1,0,0,1,17,0,3,2,0,0,0,0,3,1,1,0,0,2,4,6,7,57,0,4,400
166,1,1,1,1,0,0,6,1,3,2,0,0,0,0,3,0,3,0,0,0,4,6,7,65,0,8,400
167,1,0,2,0,0,0,17,3,3,2,0,0,0,0,3,3,0,0,0,1,10,4,4,27,0,12,400
168,0,1,1,0,2,2,12,3,3,2,0,0,5,0,2,1,3,1,0,0,8,6,5,42,0,6,400
169,1,1,1,0,0,1,6,0,3,2,0,0,0,0,3,1,2,0,0,2,8,6,7,57,0,7,400
170,1,1,2,0,0,0,13,2,3,2,0,0,0,0,3,3,2,0,0,0,7,5,4,32,0,2,400
171,1,1,2,0,0,1,9,1,3,2,0,0,0,0,3,1,2,0,0,2,7,5,4,29,0,7,400
172,1,1,1,0,0,0,18,3,3,2,0,0,1,0,3,3,3,0,0,1,3,5,5,36,0,2,400
173,1,1,2,0,0,1,17,3,3,2,0,0,1,0,3,1,0,0,0,2,3,4,4,28,0,2,400
174,1,0,2,0,0,0,6,0,3,2,0,0,4,0,3,0,0,0,0,0,3,4,4,32,0,14,400
175,1,1,2,0,0,0,2,1,3,2,0,0,0,0,3,3,3,0,0,0,3,4,4,33,0,1,400
176,1,1,1,0,0,0,15,1,3,2,0,0,1,0,3,1,1,0,0,0,3,6,5,37,0,1,400
177,1,0,2,0,0,1,6,2,3,2,0,0,0,0,3,2,2,0,0,2,4,4,4,26,0,16,400
178,1,1,1,0,0,0,2,0,3,2,0,0,0,0,3,0,0,0,0,0,4,6,6,53,0,5,400
179,0,1,1,1,0,0,11,2,3,2,0,0,0,0,3,0,3,0,0,0,4,6,6,53,0,12,400
180,1,1,1,0,0,0,5,3,3,2,0,0,4,0,3,1,0,0,0,0,4,6,8,74,0,8,400
181,1,1,1,0,0,0,13,1,3,2,0,0,0,0,3,0,3,0,0,1,6,5,6,50,0,3,400
182,1,1,2,1,0,0,9,3,3,2,0,0,0,0,0,3,3,0,0,0,6,4,4,27,0,3,400
183,1,1,1,1,0,0,17,0,3,2,0,0,0,0,3,2,2,0,0,0,2,6,6,48,0,7,400
184,1,0,2,1,0,0,2,1,3,2,0,0,0,0,3,3,1,0,0,0,4,5,6,55,0,2,400
185,1,1,1,0,0,0,13,3,3,2,0,0,0,0,3,3,2,0,0,0,4,6,6,48,0,10,400
186,1,1,2,1,0,1,6,3,3,2,0,0,5,0,3,1,3,0,0,2,4,7,0,0,0,8,400
187,1,1,1,1,0,1,13,3,3,2,0,0,0,0,3,0,3,0,0,2,2,5,6,54,0,10,400
188,1,1,1,0,0,1,2,0,3,2,0,0,1,0,3,2,2,0,0,2,4,5,5,36,0,14,400
189,1,1,1,0,0,0,9,1,3,2,0,0,1,0,2,1,3,1,0,0,2,6,5,43,1,10,400
190,1,1,1,0,0,0,9,3,3,2,0,0,1,0,3,3,1,0,0,1,2,6,5,41,0,1,400
191,1,1,1,0,0,0,17,1,3,2,0,0,0,0,3,1,1,0,0,0,3,6,6,48,0,6,400
192,1,1,1,0,2,2,2,1,3,2,0,0,5,0,3,3,0,0,0,0,2,4,4,26,1,14,400
193,1,0,1,0,0,0,17,2,3,2,0,0,0,0,3,3,3,0,0,0,3,4,5,43,0,1,400
194,1,1,1,0,1,1,6,2,3,2,0,0,5,0,3,3,3,0,0,1,2,6,5,39,1,13,400
195,1,1,1,1,0,0,2,2,3,2,0,0,1,0,3,0,2,0,0,1,3,6,6,49,0,4,400
196,1,1,1,1,0,0,6,2,3,2,0,0,1,0,3,1,3,0,0,1,3,5,5,37,0,14,400
197,1,1,1,1,0,0,9,2,3,2,0,0,0,0,3,1,2,0,0,1,1,5,5,36,0,1,400
198,1,0,1,0,0,0,13,3,3,2,0,0,0,0,3,1,2,0,0,0,7,4,6,52,0,4,400
199,1,1,1,1,0,0,13,3,3,2,0,0,4,0,3,3,0,0,0,0,2,4,4,29,0,16,400
200,1,1,1,1,0,0,9,3,3,2,0,0,0,0,3,3,3,0,0,1,2,6,5,38,0,10,400
201,1,1,2,0,0,0,9,3,3,2,0,0,0,0,3,0,3,0,0,1,2,4,4,34,0,2,400
202,0,1,2,0,0,0,6,2,3,2,0,0,5,0,3,1,3,0,0,1,2,7,0,0,0,14,400
203,0,1,1,0,0,1,6,3,3,2,0,0,1,0,3,3,3,0,0,2,11,5,5,41,0,6,400
204,1,1,1,1,0,0,13,2,4,2,0,0,4,0,1,1,3,0,0,0,2,5,5,41,1,16,500
205,1,1,1,0,0,0,13,2,3,2,0,0,0,0,3,0,3,2,0,1,0,6,7,64,0,15,400
206,1,1,1,0,0,0,13,3,3,2,0,0,5,0,3,1,0,0,0,1,2,2,4,27,1,11,400
207,1,1,2,0,0,0,9,3,3,2,0,0,5,0,3,1,1,0,0,1,11,3,3,25,0,5,400
208,1,1,2,1,0,0,17,1,3,2,0,0,0,0,3,0,3,0,0,1,10,3,3,21,0,5,400
209,0,1,1,1,0,0,13,1,3,2,0,0,4,0,3,3,3,0,0,0,2,4,4,31,0,16,400
210,1,1,2,0,0,0,13,0,3,2,0,0,0,0,2,3,2,1,0,1,0,6,5,39,0,3,400
211,0,0,1,1,0,0,6,0,3,2,0,0,4,0,3,3,1,0,0,0,3,3,5,37,0,1,400
212,1,1,1,0,0,0,0,3,3,2,0,0,0,0,3,2,0,0,0,1,3,5,5,41,0,11,400
213,1,1,1,0,0,0,13,3,3,2,0,0,0,0,3,3,0,0,0,0,1,5,5,37,0,16,400
214,0,1,1,0,0,0,9,0,3,2,0,0,1,0,3,1,1,0,0,1,6,5,4,28,0,7,400
215,1,1,1,0,0,0,2,0,3,2,0,0,0,0,3,3,2,0,0,1,6,6,7,57,0,12,400
216,1,1,1,0,0,0,17,1,1,2,1,0,0,0,3,3,3,0,0,1,6,6,7,61,0,9,400
217,1,1,1,0,0,1,9,3,3,2,0,0,0,0,3,2,0,0,0,2,4,6,8,69,0,3,700
218,1,1,1,0,0,0,6,0,3,2,0,0,0,0,3,0,0,0,0,1,4,6,8,67,0,11,400
219,1,1,1,0,0,0,2,3,3,2,0,0,5,0,3,0,1,0,0,0,3,6,6,52,0,1,400
220,1,1,2,0,0,1,17,0,3,2,0,0,0,0,3,1,1,0,0,2,5,4,3,23,0,15,400
221,1,1,1,0,0,1,13,3,3,2,0,0,4,0,3,2,3,0,0,2,6,5,5,38,0,2,400
222,1,1,1,1,0,0,17,3,3,2,0,0,0,0,3,1,3,0,0,1,4,5,4,32,0,13,400
223,1,1,1,0,0,1,6,1,3,2,0,0,0,0,3,2,2,0,0,2,4,4,4,26,0,9,400
224,1,1,1,0,0,0,17,0,3,2,0,0,0,0,3,1,3,0,0,0,4,6,7,57,0,4,400
225,1,1,1,0,0,1,13,1,3,2,0,0,5,0,3,1,3,0,0,2,9,4,4,29,0,2,400
226,1,1,1,1,0,0,15,1,1,2,0,0,1,0,3,3,3,4,0,1,10,5,4,26,0,5,400
227,1,0,2,0,0,0,18,0,3,2,0,0,5,0,3,1,1,0,0,1,10,4,4,30,0,14,400
228,0,1,1,0,0,0,13,1,3,2,0,0,0,0,3,0,1,0,0,1,2,5,5,41,1,1,400
229,1,1,1,0,0,1,13,3,3,2,0,0,5,0,3,2,1,0,0,2,10,5,7,65,0,14,400
230,1,1,1,0,0,0,13,0,3,2,0,0,0,0,3,3,3,0,0,1,6,4,4,33,0,13,400
231,1,1,1,0,0,0,9,1,3,2,0,0,0,0,2,1,3,1,0,0,0,4,5,44,0,10,400
232,1,1,1,0,0,0,2,1,3,2,0,0,0,0,3,1,3,0,0,1,2,5,4,26,1,12,400
233,1,1,1,1,0,0,18,1,3,2,0,0,5,0,3,3,0,0,0,1,7,4,4,32,0,5,400
234,1,1,1,0,0,0,11,2,3,2,0,0,4,0,3,3,3,0,0,0,7,4,4,29,0,16,400
235,1,1,1,0,0,0,2,3,3,2,0,0,0,0,3,3,1,0,0,0,2,4,4,26,1,16,400
236,0,0,2,0,0,0,13,3,3,2,0,1,0,0,3,1,2,0,0,1,7,5,5,37,0,3,400
237,1,1,1,0,0,1,13,0,3,2,0,0,0,0,3,0,1,0,0,2,7,4,4,33,0,11,400
238,1,1,1,0,0,0,13,1,3,2,0,0,0,0,3,3,1,0,0,0,4,6,6,54,0,7,400
239,1,1,2,0,0,1,9,3,3,2,0,0,1,0,3,2,2,0,0,2,4,5,4,26,0,5,400
240,1,1,2,0,0,1,2,3,3,2,0,0,0,0,3,1,0,0,0,2,4,4,4,32,0,16,400
241,1,0,2,0,0,1,9,2,3,2,0,0,0,0,4,1,0,0,0,2,4,2,3,25,0,1,400
